length, N^3, ijk, kij, jki
50, 125000, 198184, 253149, 213030
100, 1000000, 1599012, 1847838, 1739095
150, 3375000, 5349158, 6582643, 5687122
200, 8000000, 13155495, 15527565, 15128564
250, 15625000, 24159286, 28413338, 33228138
300, 27000000, 41301737, 49679211, 217750727
350, 42875000, 68383297, 81223736, 395012908
400, 64000000, 281383591, 132910295, 619447590
450, 91125000, 490801445, 168994571, 1020539146
500, 125000000, 758439593, 247567154, 1547362599
