length, N^3, ijk, kij, jki
10, 1000, 7376, 4913, 9248
20, 8000, 17239, 19214, 20651
30, 27000, 49900, 54561, 50875
40, 64000, 100628, 125369, 126708
50, 125000, 202977, 230343, 219049
60, 216000, 325425, 409231, 350845
70, 343000, 565567, 628707, 613212
80, 512000, 889574, 918178, 1092525
90, 729000, 1177987, 1294488, 1343709
100, 1000000, 1632551, 1807766, 1774521
110, 1331000, 2147146, 2330255, 2355567
120, 1728000, 3109241, 3030396, 3313815
130, 2197000, 3531094, 4030880, 3832461
140, 2744000, 4478708, 4983069, 4961064
150, 3375000, 5365499, 6132577, 5815897
160, 4096000, 12334597, 7661684, 26877156
170, 4913000, 7746231, 9092010, 9195767
180, 5832000, 9251028, 10508276, 10703014
190, 6859000, 11009494, 12364071, 11906224
200, 8000000, 13704694, 14149181, 15911744
210, 9261000, 15324419, 17032909, 17471946
220, 10648000, 17086714, 19031177, 20057910
230, 12167000, 19709359, 21711594, 22396275
240, 13824000, 25080102, 24381849, 59594552
250, 15625000, 25617712, 27902436, 33425383
260, 17576000, 28541016, 32023968, 71904561
270, 19683000, 32219475, 35408983, 109687390
280, 21952000, 38802549, 39553177, 148935543
290, 24389000, 40942826, 44576948, 189070383
300, 27000000, 45944319, 48956378, 226213723
310, 29791000, 52100657, 54221144, 262416270
320, 32768000, 103014722, 59375118, 271060282
330, 35937000, 66843837, 65425756, 330164957
340, 39304000, 76136509, 71406456, 349908532
350, 42875000, 71554141, 79554876, 398476530
360, 46656000, 79373861, 84409429, 439118427
370, 50653000, 131855398, 93499033, 505587937
380, 54872000, 152833640, 101263058, 557813080
390, 59319000, 208039940, 114274268, 613921666
400, 64000000, 277930716, 120441499, 662254584
410, 68921000, 353044224, 126813398, 771938869
420, 74088000, 374380653, 132583666, 815158315
430, 79507000, 430796013, 145133634, 905960236
440, 85184000, 456909427, 164997919, 983956382
450, 91125000, 515193296, 181061589, 1067801002
460, 97336000, 582684516, 210365255, 1093986695
470, 103823000, 682483383, 252521503, 1273119428
480, 110592000, 654902110, 222816022, 1286311061
490, 117649000, 802232575, 241952012, 1460630378
500, 125000000, 835564967, 248804556, 1521845775
510, 132651000, 901134400, 279611655, 1720587339
520, 140608000, 911207766, 372521917, 1769340575
530, 148877000, 998219949, 402476781, 1858321186
540, 157464000, 1073287979, 431226118, 2004366818
550, 166375000, 1190992678, 462434822, 2130080224
560, 175616000, 1163278774, 491816088, 2204230738
570, 185193000, 1370932568, 541478048, 2451180501
580, 195112000, 1370675975, 560388840, 2583849650
590, 205379000, 1498296692, 534437421, 2681170942
600, 216000000, 1489768910, 680282636, 2790266235
610, 226981000, 1715486267, 650914555, 2994900491
620, 238328000, 1719997002, 518475326, 3157218669
630, 250047000, 1908281161, 561282290, 3288634494
640, 262144000, 1691577982, 655469334, 3018937104
650, 274625000, 2046524146, 826289423, 3633373008
660, 287496000, 2107852617, 867226362, 3891193302
670, 300763000, 2395337967, 939436065, 4196893422
680, 314432000, 2319438825, 1017956355, 4345979376
690, 328509000, 2542023513, 1053028365, 4562748956
700, 343000000, 2512673549, 1182222791, 4746836167
710, 357911000, 2868717619, 1281957668, 5000473089
720, 373248000, 2601482665, 1114226156, 5124503253
730, 389017000, 3185920181, 1472389981, 5491725683
740, 405224000, 3047939732, 1703109856, 5668483968
750, 421875000, 3358204594, 1678327817, 6067546585
760, 438976000, 3346217431, 1827936500, 6238525324
770, 456533000, 3773199297, 1710144844, 6628910077
780, 474552000, 3625216454, 1607348751, 6610562933
790, 493039000, 4020230653, 2041187452, 7318198438
800, 512000000, 3667794433, 2000203366, 7341331454
810, 531441000, 4380894688, 2196124462, 8726338218
820, 551368000, 4189238583, 2446094285, 8799499962
830, 571787000, 4725288687, 2464029970, 9029758445
840, 592704000, 4559047977, 2629292042, 9051275918
850, 614125000, 5063585444, 2797249135, 10142072268
860, 636056000, 4868092561, 2818639779, 9779626071
870, 658503000, 5444129578, 2989844217, 10444994960
880, 681472000, 5205645347, 3236011139, 10417081072
890, 704969000, 5652301057, 3217723659, 11360336156
900, 729000000, 5508838750, 3286460332, 11690298987
910, 753571000, 6133836369, 3405066762, 12112648331
920, 778688000, 6120387591, 3392555525, 12181737645
930, 804357000, 6498456813, 3694022798, 13063487606
940, 830584000, 6382928138, 3902431174, 12892505812
950, 857375000, 7255463502, 3900968347, 13566398296
960, 884736000, 6495149434, 4023199786, 12986788112
970, 912673000, 7675171418, 4181500184, 15804869311
980, 941192000, 7397825886, 4421835129, 15044847518
990, 970299000, 8238861856, 4545056279, 15916677476
1000, 1000000000, 8293592025, 4606840857, 16080563579
