length, N^3, ijk, kij, jki
10, 1000, 4538, 4327, 4545
20, 8000, 25754, 17924, 15420
30, 27000, 43952, 55491, 46457
40, 64000, 99792, 145495, 107606
50, 125000, 187959, 237154, 195548
60, 216000, 334613, 399455, 335703
70, 343000, 559956, 641847, 597328
80, 512000, 890538, 925625, 956074
90, 729000, 1241357, 1365140, 1273126
100, 1000000, 1616857, 1794773, 1740904
110, 1331000, 2193575, 2510368, 2323831
120, 1728000, 2976998, 3133653, 3255887
130, 2197000, 3725557, 4166409, 3766699
140, 2744000, 4515952, 5418068, 4699335
150, 3375000, 5515525, 6617690, 5791762
160, 4096000, 11837427, 7815089, 22642536
170, 4913000, 7793450, 9331901, 8679341
180, 5832000, 9318128, 10581258, 9995238
190, 6859000, 11155267, 12881156, 11727861
200, 8000000, 13409616, 15218834, 16143810
