Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
conv2D,65536:1:16,3325479,1220578,833940,305293,92,10062,18,0.891%
fir,65536:1:16,27163089,15053144,6793348,3763456,461,69006,3550,0.658%
kmean,65536:1:16,39450765,8338606,9865279,2084826,157,20875,79,0.176%
mm,65536:1:16,8399467,4416818,2102419,1104347,101,14935,27,0.469%
quicksort,65536:1:16,12497859,12511653,3128446,3131433,232,38620,161,0.621%
sobel,65536:1:16,5781465,2145012,1818292,538346,160,21646,82,0.925%
bfs_matrix,131072:1:16,7639783,4340310,1912534,1085235,183329,254869,245718,14.617%
bfs_pointer,131072:1:16,297361,132180,76933,33192,92,4941,17,4.570%
conv2D,131072:1:16,3325479,1220578,833940,305293,92,10062,18,0.891%
fir,131072:1:16,27163089,15053144,6793348,3763456,344,68934,266,0.656%
kmean,131072:1:16,39450765,8338606,9865279,2084826,157,20875,79,0.176%
mm,131072:1:16,8399467,4416818,2102419,1104347,101,14935,27,0.469%
quicksort,131072:1:16,12497859,12511653,3128446,3131433,232,38620,161,0.621%
sobel,131072:1:16,5781465,2145012,1818292,538346,160,21646,82,0.925%
bfs_matrix,128:1:32,7639783,4340310,1912534,1085235,146122,137606,147475,9.465%
bfs_pointer,128:1:32,297361,132180,76933,33192,3954,2912,4013,6.235%
conv2D,128:1:32,3325479,1220578,833940,305293,13659,9615,10188,2.043%
fir,128:1:32,27163089,15053144,6793348,3763456,142694,79880,82346,2.108%
kmean,128:1:32,39450765,8338606,9865279,2084826,243510,25704,32838,2.253%
mm,128:1:32,8399467,4416818,2102419,1104347,802684,13755,14381,25.460%
quicksort,128:1:32,12497859,12511653,3128446,3131433,172706,93408,199975,4.251%
sobel,128:1:32,5781465,2145012,1818292,538346,34996,34497,36502,2.949%
bfs_matrix,256:1:32,7639783,4340310,1912534,1085235,139465,132514,138868,9.073%
bfs_pointer,256:1:32,297361,132180,76933,33192,3112,2815,3752,5.382%
conv2D,256:1:32,3325479,1220578,833940,305293,12090,7823,8288,1.748%
fir,256:1:32,27163089,15053144,6793348,3763456,81172,65902,67559,1.393%
kmean,256:1:32,39450765,8338606,9865279,2084826,210643,20079,23623,1.931%
mm,256:1:32,8399467,4416818,2102419,1104347,794714,10274,10594,25.103%
quicksort,256:1:32,12497859,12511653,3128446,3131433,131536,66899,154490,3.170%
sobel,256:1:32,5781465,2145012,1818292,538346,28340,33677,34660,2.632%
bfs_matrix,512:1:32,7639783,4340310,1912534,1085235,134035,130770,134475,8.833%
bfs_pointer,512:1:32,297361,132180,76933,33192,1978,2705,3378,4.252%
conv2D,512:1:32,3325479,1220578,833940,305293,6158,6484,6428,1.110%
fir,512:1:32,27163089,15053144,6793348,3763456,47325,58450,58963,1.002%
kmean,512:1:32,39450765,8338606,9865279,2084826,190951,17288,18701,1.743%
mm,512:1:32,8399467,4416818,2102419,1104347,744204,9564,9556,23.506%
quicksort,512:1:32,12497859,12511653,3128446,3131433,101800,48795,121363,2.406%
sobel,512:1:32,5781465,2145012,1818292,538346,25139,33097,33235,2.471%
bfs_matrix,1024:1:32,7639783,4340310,1912534,1085235,130983,128876,130815,8.668%
bfs_pointer,1024:1:32,297361,132180,76933,33192,1024,2598,2438,3.289%
conv2D,1024:1:32,3325479,1220578,833940,305293,3737,5773,5290,0.835%
fir,1024:1:32,27163089,15053144,6793348,3763456,30983,54287,54004,0.808%
kmean,1024:1:32,39450765,8338606,9865279,2084826,182558,15714,15749,1.659%
mm,1024:1:32,8399467,4416818,2102419,1104347,718618,9339,8965,22.701%
quicksort,1024:1:32,12497859,12511653,3128446,3131433,36082,34601,55107,1.129%
sobel,1024:1:32,5781465,2145012,1818292,538346,23558,32690,32019,2.387%
bfs_matrix,2048:1:32,7639783,4340310,1912534,1085235,129950,128445,129806,8.620%
bfs_pointer,2048:1:32,297361,132180,76933,33192,89,2492,494,2.344%
conv2D,2048:1:32,3325479,1220578,833940,305293,2062,5512,4018,0.665%
fir,2048:1:32,27163089,15053144,6793348,3763456,22861,52290,51758,0.712%
kmean,2048:1:32,39450765,8338606,9865279,2084826,174469,14970,14475,1.585%
mm,2048:1:32,8399467,4416818,2102419,1104347,71668,8254,7315,2.492%
quicksort,2048:1:32,12497859,12511653,3128446,3131433,17917,27088,38212,0.719%
sobel,2048:1:32,5781465,2145012,1818292,538346,22494,32517,31349,2.334%
