Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_matrix,256:4:16,7639783,4340310,1912534,1085235,260844,257619,262417,17.295%
bfs_pointer,256:4:16,297361,132180,76933,33192,2512,5335,5862,7.126%
conv2D,256:4:16,3325479,1220578,833940,305293,3767,11213,10923,1.315%
fir,256:4:16,27163089,15053144,6793348,3763456,36813,102460,103229,1.319%
kmean,256:4:16,39450765,8338606,9865279,2084826,356528,29467,30001,3.230%
mm,256:4:16,8399467,4416818,2102419,1104347,241502,18883,19212,8.120%
quicksort,256:4:16,12497859,12511653,3128446,3131433,87344,72046,122974,2.546%
sobel,256:4:16,5781465,2145012,1818292,538346,11699,35060,34762,1.984%
bfs_matrix,512:4:16,7639783,4340310,1912534,1085235,256487,255661,257941,17.084%
bfs_pointer,512:4:16,297361,132180,76933,33192,1689,5195,4567,6.251%
conv2D,512:4:16,3325479,1220578,833940,305293,2811,10577,9363,1.175%
fir,512:4:16,27163089,15053144,6793348,3763456,34950,101604,100870,1.294%
kmean,512:4:16,39450765,8338606,9865279,2084826,349938,29167,28650,3.172%
mm,512:4:16,8399467,4416818,2102419,1104347,239501,16468,15683,7.982%
quicksort,512:4:16,12497859,12511653,3128446,3131433,59820,59026,95027,1.899%
sobel,512:4:16,5781465,2145012,1818292,538346,10412,34555,33281,1.908%
bfs_matrix,1024:4:16,7639783,4340310,1912534,1085235,254867,254842,256417,17.003%
bfs_pointer,1024:4:16,297361,132180,76933,33192,942,5006,2514,5.401%
conv2D,1024:4:16,3325479,1220578,833940,305293,2140,10397,7624,1.100%
fir,1024:4:16,27163089,15053144,6793348,3763456,33306,101194,99069,1.274%
kmean,1024:4:16,39450765,8338606,9865279,2084826,289411,28665,27491,2.662%
mm,1024:4:16,8399467,4416818,2102419,1104347,109057,16277,14449,3.908%
quicksort,1024:4:16,12497859,12511653,3128446,3131433,35744,48868,70829,1.352%
sobel,1024:4:16,5781465,2145012,1818292,538346,9221,32940,30339,1.789%
bfs_matrix,2048:4:16,7639783,4340310,1912534,1085235,253975,254451,255635,16.960%
bfs_pointer,2048:4:16,297361,132180,76933,33192,492,4943,1014,4.935%
conv2D,2048:4:16,3325479,1220578,833940,305293,1103,10217,4521,0.994%
fir,2048:4:16,27163089,15053144,6793348,3763456,32483,100941,96771,1.264%
kmean,2048:4:16,39450765,8338606,9865279,2084826,26778,27073,25232,0.451%
mm,2048:4:16,8399467,4416818,2102419,1104347,7659,15447,11105,0.721%
quicksort,2048:4:16,12497859,12511653,3128446,3131433,16117,42496,48057,0.936%
sobel,2048:4:16,5781465,2145012,1818292,538346,5293,28945,22828,1.453%
bfs_matrix,4096:4:16,7639783,4340310,1912534,1085235,252508,254225,255126,16.904%
bfs_pointer,4096:4:16,297361,132180,76933,33192,85,4929,218,4.553%
conv2D,4096:4:16,3325479,1220578,833940,305293,404,10147,1989,0.926%
fir,4096:4:16,27163089,15053144,6793348,3763456,26933,99396,90285,1.197%
kmean,4096:4:16,39450765,8338606,9865279,2084826,6177,24683,14441,0.258%
mm,4096:4:16,8399467,4416818,2102419,1104347,2330,15136,5484,0.545%
quicksort,4096:4:16,12497859,12511653,3128446,3131433,6126,39708,29785,0.732%
sobel,4096:4:16,5781465,2145012,1818292,538346,1899,25002,12281,1.141%
bfs_matrix,8192:4:16,7639783,4340310,1912534,1085235,248525,254137,254787,16.768%
bfs_pointer,8192:4:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,8192:4:16,3325479,1220578,833940,305293,89,10053,495,0.890%
fir,8192:4:16,27163089,15053144,6793348,3763456,13458,92476,67997,1.003%
kmean,8192:4:16,39450765,8338606,9865279,2084826,707,22855,4933,0.197%
mm,8192:4:16,8399467,4416818,2102419,1104347,720,14975,1887,0.489%
quicksort,8192:4:16,12497859,12511653,3128446,3131433,2088,38778,16017,0.653%
sobel,8192:4:16,5781465,2145012,1818292,538346,430,22637,4822,0.979%
bfs_matrix,16384:4:16,7639783,4340310,1912534,1085235,234160,254012,253135,16.285%
bfs_pointer,16384:4:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,16384:4:16,3325479,1220578,833940,305293,78,10045,0,0.889%
fir,16384:4:16,27163089,15053144,6793348,3763456,4250,81246,33582,0.810%
kmean,16384:4:16,39450765,8338606,9865279,2084826,197,20815,1145,0.176%
mm,16384:4:16,8399467,4416818,2102419,1104347,78,14909,0,0.467%
quicksort,16384:4:16,12497859,12511653,3128446,3131433,165,38540,6777,0.618%
sobel,16384:4:16,5781465,2145012,1818292,538346,107,21586,1288,0.921%
bfs_matrix,32768:4:16,7639783,4340310,1912534,1085235,187620,253926,228643,14.729%
bfs_pointer,32768:4:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,32768:4:16,3325479,1220578,833940,305293,78,10045,0,0.889%
fir,32768:4:16,27163089,15053144,6793348,3763456,4019,72927,11868,0.729%
kmean,32768:4:16,39450765,8338606,9865279,2084826,82,20797,0,0.175%
mm,32768:4:16,8399467,4416818,2102419,1104347,78,14909,0,0.467%
quicksort,32768:4:16,12497859,12511653,3128446,3131433,103,38474,1486,0.616%
sobel,32768:4:16,5781465,2145012,1818292,538346,82,21565,0,0.919%
bfs_matrix,32:4:32,7639783,4340310,1912534,1085235,140163,133138,141023,9.117%
bfs_pointer,32:4:32,297361,132180,76933,33192,3835,2935,4096,6.148%
conv2D,32:4:32,3325479,1220578,833940,305293,4600,7743,8154,1.083%
fir,32:4:32,27163089,15053144,6793348,3763456,34078,61554,63881,0.906%
kmean,32:4:32,39450765,8338606,9865279,2084826,188746,17510,21509,1.726%
mm,32:4:32,8399467,4416818,2102419,1104347,342970,16636,17247,11.214%
quicksort,32:4:32,12497859,12511653,3128446,3131433,92539,64938,117945,2.516%
sobel,32:4:32,5781465,2145012,1818292,538346,9966,20410,21324,1.289%
bfs_matrix,64:4:32,7639783,4340310,1912534,1085235,137406,131312,137423,8.964%
bfs_pointer,64:4:32,297361,132180,76933,33192,3085,2802,3805,5.346%
conv2D,64:4:32,3325479,1220578,833940,305293,2693,6427,6638,0.801%
fir,64:4:32,27163089,15053144,6793348,3763456,25796,54901,56611,0.764%
kmean,64:4:32,39450765,8338606,9865279,2084826,182460,15763,17599,1.659%
mm,64:4:32,8399467,4416818,2102419,1104347,175158,11834,12264,5.831%
quicksort,64:4:32,12497859,12511653,3128446,3131433,68400,49974,89322,1.891%
sobel,64:4:32,5781465,2145012,1818292,538346,8117,18673,19169,1.137%
bfs_matrix,128:4:32,7639783,4340310,1912534,1085235,135386,129989,134834,8.852%
bfs_pointer,128:4:32,297361,132180,76933,33192,2027,2705,3414,4.297%
conv2D,128:4:32,3325479,1220578,833940,305293,1993,5630,5562,0.669%
fir,128:4:32,27163089,15053144,6793348,3763456,19393,51473,52327,0.671%
kmean,128:4:32,39450765,8338606,9865279,2084826,179378,14825,15579,1.625%
mm,128:4:32,8399467,4416818,2102419,1104347,151316,9723,10000,5.022%
quicksort,128:4:32,12497859,12511653,3128446,3131433,49466,38885,67853,1.411%
sobel,128:4:32,5781465,2145012,1818292,538346,6387,17810,17816,1.027%
bfs_matrix,256:4:32,7639783,4340310,1912534,1085235,131037,128326,130555,8.652%
bfs_pointer,256:4:32,297361,132180,76933,33192,1078,2616,2506,3.354%
conv2D,256:4:32,3325479,1220578,833940,305293,1510,5290,4746,0.597%
fir,256:4:32,27163089,15053144,6793348,3763456,17927,50913,50771,0.652%
kmean,256:4:32,39450765,8338606,9865279,2084826,175480,14629,14625,1.591%
mm,256:4:32,8399467,4416818,2102419,1104347,149533,8334,7972,4.923%
quicksort,256:4:32,12497859,12511653,3128446,3131433,33256,30971,51098,1.026%
sobel,256:4:32,5781465,2145012,1818292,538346,5540,17493,16912,0.977%
bfs_matrix,512:4:32,7639783,4340310,1912534,1085235,129162,127678,129080,8.568%
bfs_pointer,512:4:32,297361,132180,76933,33192,560,2522,1352,2.799%
conv2D,512:4:32,3325479,1220578,833940,305293,1114,5213,3801,0.555%
fir,512:4:32,27163089,15053144,6793348,3763456,16880,50657,49733,0.640%
kmean,512:4:32,39450765,8338606,9865279,2084826,144681,14341,13886,1.331%
mm,512:4:32,8399467,4416818,2102419,1104347,73775,8211,7325,2.557%
quicksort,512:4:32,12497859,12511653,3128446,3131433,18871,24980,36907,0.701%
sobel,512:4:32,5781465,2145012,1818292,538346,4926,16678,15429,0.917%
bfs_matrix,1024:4:32,7639783,4340310,1912534,1085235,128156,127307,128312,8.522%
bfs_pointer,1024:4:32,297361,132180,76933,33192,260,2478,528,2.486%
conv2D,1024:4:32,3325479,1220578,833940,305293,622,5112,2297,0.503%
fir,1024:4:32,27163089,15053144,6793348,3763456,16368,50478,48505,0.633%
kmean,1024:4:32,39450765,8338606,9865279,2084826,13446,13534,12644,0.226%
mm,1024:4:32,8399467,4416818,2102419,1104347,3997,7748,5672,0.366%
quicksort,1024:4:32,12497859,12511653,3128446,3131433,8235,21310,24361,0.472%
sobel,1024:4:32,5781465,2145012,1818292,538346,2707,14439,11399,0.728%
bfs_matrix,2048:4:32,7639783,4340310,1912534,1085235,127140,127175,127910,8.483%
bfs_pointer,2048:4:32,297361,132180,76933,33192,51,2468,126,2.287%
conv2D,2048:4:32,3325479,1220578,833940,305293,235,5068,1010,0.465%
fir,2048:4:32,27163089,15053144,6793348,3763456,13604,49733,45266,0.600%
kmean,2048:4:32,39450765,8338606,9865279,2084826,3109,12337,7180,0.129%
mm,2048:4:32,8399467,4416818,2102419,1104347,1136,7561,2751,0.271%
quicksort,2048:4:32,12497859,12511653,3128446,3131433,3149,19856,15001,0.367%
sobel,2048:4:32,5781465,2145012,1818292,538346,979,12495,6139,0.572%
bfs_matrix,4096:4:32,7639783,4340310,1912534,1085235,124834,127072,127542,8.403%
bfs_pointer,4096:4:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,4096:4:32,3325479,1220578,833940,305293,55,5030,233,0.446%
fir,4096:4:32,27163089,15053144,6793348,3763456,6753,46355,34159,0.503%
kmean,4096:4:32,39450765,8338606,9865279,2084826,357,11422,2449,0.099%
mm,4096:4:32,8399467,4416818,2102419,1104347,379,7483,973,0.245%
quicksort,4096:4:32,12497859,12511653,3128446,3131433,1025,19395,7935,0.326%
sobel,4096:4:32,5781465,2145012,1818292,538346,256,11384,2515,0.494%
bfs_matrix,8192:4:32,7639783,4340310,1912534,1085235,117317,127026,126680,8.151%
bfs_pointer,8192:4:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,8192:4:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,8192:4:32,27163089,15053144,6793348,3763456,2169,40599,16713,0.405%
kmean,8192:4:32,39450765,8338606,9865279,2084826,110,10414,590,0.088%
mm,8192:4:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,8192:4:32,12497859,12511653,3128446,3131433,104,19275,3369,0.310%
sobel,8192:4:32,5781465,2145012,1818292,538346,60,10797,657,0.461%
bfs_matrix,16384:4:32,7639783,4340310,1912534,1085235,93880,126970,114178,7.367%
bfs_pointer,16384:4:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,16384:4:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,16384:4:32,27163089,15053144,6793348,3763456,2125,36416,5993,0.365%
kmean,16384:4:32,39450765,8338606,9865279,2084826,50,10401,0,0.087%
mm,16384:4:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,16384:4:32,12497859,12511653,3128446,3131433,58,19245,716,0.308%
sobel,16384:4:32,5781465,2145012,1818292,538346,50,10785,0,0.460%
bfs_matrix,32:8:16,7639783,4340310,1912534,1085235,266345,261620,270005,17.612%
bfs_pointer,32:8:16,297361,132180,76933,33192,4277,5702,6950,9.062%
conv2D,32:8:16,3325479,1220578,833940,305293,9205,15066,15595,2.130%
fir,32:8:16,27163089,15053144,6793348,3763456,66715,123116,125843,1.798%
kmean,32:8:16,39450765,8338606,9865279,2084826,366134,34639,38290,3.354%
mm,32:8:16,8399467,4416818,2102419,1104347,343976,24304,25124,11.484%
quicksort,32:8:16,12497859,12511653,3128446,3131433,153418,112695,198740,4.251%
sobel,32:8:16,5781465,2145012,1818292,538346,18436,40096,41126,2.484%
bfs_matrix,64:8:16,7639783,4340310,1912534,1085235,262149,259054,264857,17.386%
bfs_pointer,64:8:16,297361,132180,76933,33192,3474,5506,6475,8.154%
conv2D,64:8:16,3325479,1220578,833940,305293,5707,13052,13218,1.647%
fir,64:8:16,27163089,15053144,6793348,3763456,51458,110983,112781,1.539%
kmean,64:8:16,39450765,8338606,9865279,2084826,359825,31551,33385,3.275%
mm,64:8:16,8399467,4416818,2102419,1104347,283535,21735,22311,9.520%
quicksort,64:8:16,12497859,12511653,3128446,3131433,117439,90626,157444,3.324%
sobel,64:8:16,5781465,2145012,1818292,538346,14040,37118,37507,2.171%
bfs_matrix,128:8:16,7639783,4340310,1912534,1085235,258815,256963,260684,17.205%
bfs_pointer,128:8:16,297361,132180,76933,33192,2517,5362,5882,7.155%
conv2D,128:8:16,3325479,1220578,833940,305293,3874,11357,11088,1.337%
fir,128:8:16,27163089,15053144,6793348,3763456,40454,104489,105089,1.373%
kmean,128:8:16,39450765,8338606,9865279,2084826,356160,29905,30476,3.231%
mm,128:8:16,8399467,4416818,2102419,1104347,238629,19547,19916,8.051%
quicksort,128:8:16,12497859,12511653,3128446,3131433,87229,72842,123730,2.557%
sobel,128:8:16,5781465,2145012,1818292,538346,11794,35273,34919,1.997%
bfs_matrix,256:8:16,7639783,4340310,1912534,1085235,256600,255643,258139,17.087%
bfs_pointer,256:8:16,297361,132180,76933,33192,1655,5157,4497,6.186%
conv2D,256:8:16,3325479,1220578,833940,305293,2992,10661,9699,1.198%
fir,256:8:16,27163089,15053144,6793348,3763456,34556,101551,100891,1.289%
kmean,256:8:16,39450765,8338606,9865279,2084826,348042,29102,28688,3.156%
mm,256:8:16,8399467,4416818,2102419,1104347,114998,17875,18023,4.144%
quicksort,256:8:16,12497859,12511653,3128446,3131433,61197,59540,96594,1.929%
sobel,256:8:16,5781465,2145012,1818292,538346,10058,34192,32953,1.878%
bfs_matrix,512:8:16,7639783,4340310,1912534,1085235,254957,254851,256401,17.006%
bfs_pointer,512:8:16,297361,132180,76933,33192,1026,5036,2673,5.505%
conv2D,512:8:16,3325479,1220578,833940,305293,2155,10363,7577,1.099%
fir,512:8:16,27163089,15053144,6793348,3763456,33743,101154,98990,1.278%
kmean,512:8:16,39450765,8338606,9865279,2084826,285112,28679,27603,2.626%
mm,512:8:16,8399467,4416818,2102419,1104347,108330,16219,14390,3.884%
quicksort,512:8:16,12497859,12511653,3128446,3131433,37006,49140,71861,1.376%
sobel,512:8:16,5781465,2145012,1818292,538346,8566,32491,29885,1.742%
bfs_matrix,1024:8:16,7639783,4340310,1912534,1085235,253930,254417,255583,16.958%
bfs_pointer,1024:8:16,297361,132180,76933,33192,537,4968,1273,4.999%
conv2D,1024:8:16,3325479,1220578,833940,305293,1208,10229,4706,1.004%
fir,1024:8:16,27163089,15053144,6793348,3763456,32430,100903,96574,1.263%
kmean,1024:8:16,39450765,8338606,9865279,2084826,32691,26980,25198,0.499%
mm,1024:8:16,8399467,4416818,2102419,1104347,8006,15378,11164,0.729%
quicksort,1024:8:16,12497859,12511653,3128446,3131433,17973,42760,49579,0.970%
sobel,1024:8:16,5781465,2145012,1818292,538346,5304,29086,23156,1.459%
bfs_matrix,2048:8:16,7639783,4340310,1912534,1085235,252583,254234,255149,16.906%
bfs_pointer,2048:8:16,297361,132180,76933,33192,274,4928,514,4.724%
conv2D,2048:8:16,3325479,1220578,833940,305293,611,10151,2518,0.945%
fir,2048:8:16,27163089,15053144,6793348,3763456,27475,99041,89843,1.198%
kmean,2048:8:16,39450765,8338606,9865279,2084826,8360,24547,15710,0.275%
mm,2048:8:16,8399467,4416818,2102419,1104347,2649,15120,6104,0.554%
quicksort,2048:8:16,12497859,12511653,3128446,3131433,7317,39816,30904,0.753%
sobel,2048:8:16,5781465,2145012,1818292,538346,2054,25224,12811,1.157%
bfs_matrix,4096:8:16,7639783,4340310,1912534,1085235,248523,254099,254780,16.767%
bfs_pointer,4096:8:16,297361,132180,76933,33192,82,4926,114,4.548%
conv2D,4096:8:16,3325479,1220578,833940,305293,242,10073,1003,0.905%
fir,4096:8:16,27163089,15053144,6793348,3763456,15298,92158,68413,1.018%
kmean,4096:8:16,39450765,8338606,9865279,2084826,2148,22743,6302,0.208%
mm,4096:8:16,8399467,4416818,2102419,1104347,975,15009,2570,0.498%
quicksort,4096:8:16,12497859,12511653,3128446,3131433,2858,38899,17343,0.667%
sobel,4096:8:16,5781465,2145012,1818292,538346,831,23242,6114,1.021%
bfs_matrix,8192:8:16,7639783,4340310,1912534,1085235,233934,254025,252942,16.277%
bfs_pointer,8192:8:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,8192:8:16,3325479,1220578,833940,305293,81,10047,264,0.889%
fir,8192:8:16,27163089,15053144,6793348,3763456,5638,81959,36344,0.830%
kmean,8192:8:16,39450765,8338606,9865279,2084826,258,21801,2266,0.185%
mm,8192:8:16,8399467,4416818,2102419,1104347,360,14935,906,0.477%
quicksort,8192:8:16,12497859,12511653,3128446,3131433,1117,38583,8632,0.634%
sobel,8192:8:16,5781465,2145012,1818292,538346,233,22139,2449,0.949%
bfs_matrix,16384:8:16,7639783,4340310,1912534,1085235,189005,253938,227983,14.776%
bfs_pointer,16384:8:16,297361,132180,76933,33192,79,4925,0,4.544%
conv2D,16384:8:16,3325479,1220578,833940,305293,78,10045,0,0.889%
fir,16384:8:16,27163089,15053144,6793348,3763456,2091,74889,15658,0.729%
kmean,16384:8:16,39450765,8338606,9865279,2084826,121,20812,487,0.175%
mm,16384:8:16,8399467,4416818,2102419,1104347,78,14909,0,0.467%
quicksort,16384:8:16,12497859,12511653,3128446,3131433,106,38500,3364,0.617%
sobel,16384:8:16,5781465,2145012,1818292,538346,90,21571,601,0.919%
bfs_matrix,16:8:32,7639783,4340310,1912534,1085235,138569,132684,139749,9.048%
bfs_pointer,16:8:32,297361,132180,76933,33192,3820,2926,4103,6.126%
conv2D,16:8:32,3325479,1220578,833940,305293,4920,7673,8090,1.105%
fir,16:8:32,27163089,15053144,6793348,3763456,34848,61953,64165,0.917%
kmean,16:8:32,39450765,8338606,9865279,2084826,186793,17465,20993,1.709%
mm,16:8:32,8399467,4416818,2102419,1104347,352904,14976,15527,11.472%
quicksort,16:8:32,12497859,12511653,3128446,3131433,91744,64716,117405,2.499%
sobel,16:8:32,5781465,2145012,1818292,538346,9865,20362,21233,1.283%
bfs_matrix,32:8:32,7639783,4340310,1912534,1085235,135466,130681,135810,8.878%
bfs_pointer,32:8:32,297361,132180,76933,33192,3093,2829,3816,5.378%
conv2D,32:8:32,3325479,1220578,833940,305293,3075,6548,6748,0.845%
fir,32:8:32,27163089,15053144,6793348,3763456,26799,55615,57158,0.781%
kmean,32:8:32,39450765,8338606,9865279,2084826,181900,15958,17829,1.656%
mm,32:8:32,8399467,4416818,2102419,1104347,182555,11568,11994,6.054%
quicksort,32:8:32,12497859,12511653,3128446,3131433,68156,50287,89423,1.892%
sobel,32:8:32,5781465,2145012,1818292,538346,7590,18744,19191,1.117%
bfs_matrix,64:8:32,7639783,4340310,1912534,1085235,132787,129248,132748,8.741%
bfs_pointer,64:8:32,297361,132180,76933,33192,2066,2713,3446,4.340%
conv2D,64:8:32,3325479,1220578,833940,305293,2117,5736,5683,0.689%
fir,64:8:32,27163089,15053144,6793348,3763456,20909,52547,53239,0.696%
kmean,64:8:32,39450765,8338606,9865279,2084826,178957,15028,15775,1.623%
mm,64:8:32,8399467,4416818,2102419,1104347,135458,9998,10256,4.536%
quicksort,64:8:32,12497859,12511653,3128446,3131433,49198,39258,67972,1.413%
sobel,64:8:32,5781465,2145012,1818292,538346,6292,17885,17833,1.026%
bfs_matrix,128:8:32,7639783,4340310,1912534,1085235,130950,128263,130647,8.647%
bfs_pointer,128:8:32,297361,132180,76933,33192,1110,2616,2535,3.383%
conv2D,128:8:32,3325479,1220578,833940,305293,1534,5346,4893,0.604%
fir,128:8:32,27163089,15053144,6793348,3763456,17638,50834,50754,0.649%
kmean,128:8:32,39450765,8338606,9865279,2084826,174494,14588,14639,1.582%
mm,128:8:32,8399467,4416818,2102419,1104347,65885,9052,9189,2.337%
quicksort,128:8:32,12497859,12511653,3128446,3131433,33737,31168,51723,1.037%
sobel,128:8:32,5781465,2145012,1818292,538346,5268,17287,16736,0.957%
bfs_matrix,256:8:32,7639783,4340310,1912534,1085235,129147,127637,129004,8.566%
bfs_pointer,256:8:32,297361,132180,76933,33192,558,2532,1423,2.806%
conv2D,256:8:32,3325479,1220578,833940,305293,1107,5155,3762,0.550%
fir,256:8:32,27163089,15053144,6793348,3763456,17036,50597,49646,0.641%
kmean,256:8:32,39450765,8338606,9865279,2084826,142949,14345,13908,1.316%
mm,256:8:32,8399467,4416818,2102419,1104347,61962,8168,7266,2.187%
quicksort,256:8:32,12497859,12511653,3128446,3131433,19546,25138,37554,0.714%
sobel,256:8:32,5781465,2145012,1818292,538346,4478,16412,15159,0.886%
bfs_matrix,512:8:32,7639783,4340310,1912534,1085235,128196,127283,128346,8.522%
bfs_pointer,512:8:32,297361,132180,76933,33192,278,2492,653,2.515%
conv2D,512:8:32,3325479,1220578,833940,305293,659,5128,2438,0.508%
fir,512:8:32,27163089,15053144,6793348,3763456,16289,50480,48351,0.632%
kmean,512:8:32,39450765,8338606,9865279,2084826,16090,13489,12649,0.248%
mm,512:8:32,8399467,4416818,2102419,1104347,4175,7697,5648,0.370%
quicksort,512:8:32,12497859,12511653,3128446,3131433,9404,21503,25359,0.494%
sobel,512:8:32,5781465,2145012,1818292,538346,2668,14556,11626,0.731%
bfs_matrix,1024:8:32,7639783,4340310,1912534,1085235,127090,127151,127896,8.481%
bfs_pointer,1024:8:32,297361,132180,76933,33192,155,2472,254,2.385%
conv2D,1024:8:32,3325479,1220578,833940,305293,292,5069,1219,0.471%
fir,1024:8:32,27163089,15053144,6793348,3763456,13725,49533,44893,0.599%
kmean,1024:8:32,39450765,8338606,9865279,2084826,4152,12285,7916,0.138%
mm,1024:8:32,8399467,4416818,2102419,1104347,1297,7563,3008,0.276%
quicksort,1024:8:32,12497859,12511653,3128446,3131433,3700,19902,15493,0.377%
sobel,1024:8:32,5781465,2145012,1818292,538346,1061,12677,6520,0.583%
bfs_matrix,2048:8:32,7639783,4340310,1912534,1085235,124900,127062,127537,8.405%
bfs_pointer,2048:8:32,297361,132180,76933,33192,49,2466,50,2.284%
conv2D,2048:8:32,3325479,1220578,833940,305293,142,5046,511,0.455%
fir,2048:8:32,27163089,15053144,6793348,3763456,7671,46168,34224,0.510%
kmean,2048:8:32,39450765,8338606,9865279,2084826,1064,11421,3181,0.104%
mm,2048:8:32,8399467,4416818,2102419,1104347,502,7496,1346,0.249%
quicksort,2048:8:32,12497859,12511653,3128446,3131433,1393,19428,8656,0.333%
sobel,2048:8:32,5781465,2145012,1818292,538346,425,11650,3022,0.512%
bfs_matrix,4096:8:32,7639783,4340310,1912534,1085235,117403,127034,126541,8.154%
bfs_pointer,4096:8:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,4096:8:32,3325479,1220578,833940,305293,47,5025,137,0.445%
fir,4096:8:32,27163089,15053144,6793348,3763456,2818,40932,18030,0.414%
kmean,4096:8:32,39450765,8338606,9865279,2084826,146,10888,1121,0.092%
mm,4096:8:32,8399467,4416818,2102419,1104347,195,7466,435,0.239%
quicksort,4096:8:32,12497859,12511653,3128446,3131433,555,19296,4290,0.317%
sobel,4096:8:32,5781465,2145012,1818292,538346,128,11024,1150,0.473%
bfs_matrix,8192:8:32,7639783,4340310,1912534,1085235,94495,126977,114074,7.388%
bfs_pointer,8192:8:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,8192:8:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,8192:8:32,27163089,15053144,6793348,3763456,1015,37401,7679,0.364%
kmean,8192:8:32,39450765,8338606,9865279,2084826,83,10409,309,0.088%
mm,8192:8:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,8192:8:32,12497859,12511653,3128446,3131433,76,19256,1700,0.309%
sobel,8192:8:32,5781465,2145012,1818292,538346,56,10787,341,0.460%
bfs_matrix,16:16:16,7639783,4340310,1912534,1085235,265526,261442,269421,17.579%
bfs_pointer,16:16:16,297361,132180,76933,33192,4281,5720,6973,9.081%
conv2D,16:16:16,3325479,1220578,833940,305293,9204,15012,15595,2.126%
fir,16:16:16,27163089,15053144,6793348,3763456,65614,123048,125697,1.787%
kmean,16:16:16,39450765,8338606,9865279,2084826,365689,34669,38294,3.350%
mm,16:16:16,8399467,4416818,2102419,1104347,356305,24446,25248,11.873%
quicksort,16:16:16,12497859,12511653,3128446,3131433,153550,112980,199451,4.258%
sobel,16:16:16,5781465,2145012,1818292,538346,18819,40213,41231,2.505%
bfs_matrix,32:16:16,7639783,4340310,1912534,1085235,261400,258715,264172,17.350%
bfs_pointer,32:16:16,297361,132180,76933,33192,3440,5523,6501,8.139%
conv2D,32:16:16,3325479,1220578,833940,305293,6203,13170,13408,1.701%
fir,32:16:16,27163089,15053144,6793348,3763456,52581,112148,113942,1.560%
kmean,32:16:16,39450765,8338606,9865279,2084826,359994,31686,33583,3.278%
mm,32:16:16,8399467,4416818,2102419,1104347,289529,21903,22463,9.712%
quicksort,32:16:16,12497859,12511653,3128446,3131433,117999,91194,158371,3.342%
sobel,32:16:16,5781465,2145012,1818292,538346,14586,37101,37556,2.193%
bfs_matrix,64:16:16,7639783,4340310,1912534,1085235,258329,256761,260309,17.182%
bfs_pointer,64:16:16,297361,132180,76933,33192,2587,5373,5944,7.228%
conv2D,64:16:16,3325479,1220578,833940,305293,4217,11547,11310,1.384%
fir,64:16:16,27163089,15053144,6793348,3763456,42233,105592,106142,1.400%
kmean,64:16:16,39450765,8338606,9865279,2084826,355935,30171,30740,3.231%
mm,64:16:16,8399467,4416818,2102419,1104347,243530,19628,19936,8.206%
quicksort,64:16:16,12497859,12511653,3128446,3131433,87684,73338,124658,2.572%
sobel,64:16:16,5781465,2145012,1818292,538346,11562,35585,35270,2.001%
bfs_matrix,128:16:16,7639783,4340310,1912534,1085235,256160,255542,257780,17.069%
bfs_pointer,128:16:16,297361,132180,76933,33192,1765,5179,4601,6.306%
conv2D,128:16:16,3325479,1220578,833940,305293,3059,10751,9813,1.212%
fir,128:16:16,27163089,15053144,6793348,3763456,36420,102600,101969,1.317%
kmean,128:16:16,39450765,8338606,9865279,2084826,347367,29373,28994,3.153%
mm,128:16:16,8399467,4416818,2102419,1104347,115151,18135,18279,4.156%
quicksort,128:16:16,12497859,12511653,3128446,3131433,61514,60289,97604,1.946%
sobel,128:16:16,5781465,2145012,1818292,538346,10314,34418,33248,1.898%
bfs_matrix,256:16:16,7639783,4340310,1912534,1085235,255009,254818,256443,17.007%
bfs_pointer,256:16:16,297361,132180,76933,33192,1059,5039,2792,5.537%
conv2D,256:16:16,3325479,1220578,833940,305293,2153,10417,7785,1.103%
fir,256:16:16,27163089,15053144,6793348,3763456,33558,101200,99127,1.277%
kmean,256:16:16,39450765,8338606,9865279,2084826,283038,28644,27612,2.608%
mm,256:16:16,8399467,4416818,2102419,1104347,12229,15932,15186,0.878%
quicksort,256:16:16,12497859,12511653,3128446,3131433,37851,49640,72954,1.398%
sobel,256:16:16,5781465,2145012,1818292,538346,8399,32398,29830,1.731%
bfs_matrix,512:16:16,7639783,4340310,1912534,1085235,253850,254450,255586,16.956%
